,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
0,20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5
1,21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10
2,360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1
3,3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10
4,3MINDIA,3M India Limited,EQ,13-AUG-2004,10
5,3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2
6,5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10
7,63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2
8,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10
9,AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10
10,AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10
11,AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10
13,AARON,Aaron Industries Limited,EQ,06-NOV-2020,10
14,AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5
15,AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10
16,AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5
17,AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5
18,AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10
19,AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-NOV-2006,10
20,AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10
21,AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10
22,ABAN,Aban Offshore Limited,BE,29-MAR-1995,2
23,ABB,ABB India Limited,EQ,08-FEB-1995,2
24,ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10
25,ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10
26,ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2
27,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10
28,ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,10
29,ABMINTLLTD,ABM International Limited,EQ,09-SEP-2021,10
30,ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10
31,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5
32,ACC,ACC Limited,EQ,20-NOV-1996,10
33,ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10
34,ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,1
35,ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2
36,ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10
37,ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2
38,ACL,Andhra Cements Limited,EQ,10-MAY-2023,10
39,ACLGATI,Allcargo Gati Limited,EQ,10-OCT-2006,2
40,ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2
41,ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10
42,ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1
43,ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10
44,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2
45,ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10
46,ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2
47,ADL,Archidply Decor Limited,EQ,01-OCT-2020,10
48,ADOR,Ador Welding Limited,EQ,10-MAY-1995,10
49,ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10
50,ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5
51,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2
52,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2
53,AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1
54,AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2
55,AETHER,Aether Industries Limited,EQ,03-JUN-2022,10
56,AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10
57,AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2
58,AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10
59,AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,1
60,AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2
61,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10
62,AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1
63,AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2
64,AGIIL,Agi Infra Limited,EQ,15-JUL-2024,5
65,AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10
66,AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10
67,AGSTRA,AGS Transact Technologies Limited,BE,31-JAN-2022,10
68,AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10
69,AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10
70,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2
71,AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2
72,AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1
73,AIRAN,Airan Limited,EQ,03-MAY-2019,2
74,AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10
75,AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2
76,AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1
77,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10
78,AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2
79,AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10
80,AKG,Akg Exim Limited,EQ,16-FEB-2021,10
81,AKI,AKI India Limited,BE,06-APR-2023,2
82,AKSHAR,Akshar Spintex Limited,BE,23-MAY-2022,1
83,AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10
84,AKSHOPTFBR,Aksh Optifibre Limited,BE,18-AUG-2000,5
85,AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2
86,AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10
87,ALANKIT,Alankit Limited,EQ,30-JUN-2015,1
88,ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10
89,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2
90,ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5
91,ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2
92,ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10
93,ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2
94,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2
95,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2
96,ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10
97,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1
98,ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1
99,ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10
100,ALPHAGEO,Alphageo (India) Limited,BE,11-MAY-2007,10
101,ALPSINDUS,Alps Industries Limited,BE,24-APR-1996,10
102,AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10
103,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10
104,AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10
105,AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2
106,AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10
107,AMIORG,Ami Organics Limited,EQ,14-SEP-2021,5
108,AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2
109,AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2
110,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1
111,ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5
112,ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2
113,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2
114,ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2
115,ANGELONE,Angel One Limited,EQ,05-OCT-2020,10
116,ANIKINDS,Anik Industries Limited,BE,21-MAY-2008,10
117,ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10
118,ANMOL,Anmol India Limited,EQ,04-JUN-2021,10
119,ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5
120,ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1
121,ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5
122,ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10
