,Company Name,Industry,Symbol
0,Adani Enterprises Ltd.,Metals & Mining,ADANIENT
1,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
2,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
3,Asian Paints Ltd.,Consumer Durables,ASIANPAINT
4,Axis Bank Ltd.,Financial Services,AXISBANK
5,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
6,Bajaj Finance Ltd.,Financial Services,BAJFINANCE
7,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
8,Bharat Electronics Ltd.,Capital Goods,BEL
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL
10,Cipla Ltd.,Healthcare,CIPLA
11,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
12,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
13,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT
14,Eternal Ltd.,Consumer Services,ETERNAL
15,Grasim Industries Ltd.,Construction Materials,GRASIM
16,HCL Technologies Ltd.,Information Technology,HCLTECH
17,HDFC Bank Ltd.,Financial Services,HDFCBANK
18,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
19,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
20,Hindalco Industries Ltd.,Metals & Mining,HINDALCO
21,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
22,ICICI Bank Ltd.,Financial Services,ICICIBANK
23,ITC Ltd.,Fast Moving Consumer Goods,ITC
24,IndusInd Bank Ltd.,Financial Services,INDUSINDBK
25,Infosys Ltd.,Information Technology,INFY
26,JSW Steel Ltd.,Metals & Mining,JSWSTEEL
27,Jio Financial Services Ltd.,Financial Services,JIOFIN
28,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK
29,Larsen & Toubro Ltd.,Construction,LT
30,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
31,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
32,NTPC Ltd.,Power,NTPC
33,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
34,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
35,Power Grid Corporation of India Ltd.,Power,POWERGRID
36,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
37,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
38,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN
39,State Bank of India,Financial Services,SBIN
40,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
41,Tata Consultancy Services Ltd.,Information Technology,TCS
42,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
43,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
44,Tata Steel Ltd.,Metals & Mining,TATASTEEL
45,Tech Mahindra Ltd.,Information Technology,TECHM
46,Titan Company Ltd.,Consumer Durables,TITAN
47,Trent Ltd.,Consumer Services,TRENT
48,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
49,Wipro Ltd.,Information Technology,WIPRO

